title,title_Link,answer,time,回答者,f_light,ml_10
爬山虎属的功能效用,http://zhidao.baidu.com/question/435800555057568204.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎又名爬墙虎、地锦，原产我国，北起长白山，南至广东、广西，广泛分布。为葡萄科落叶大藤本，是一种美丽的垂直绿化植物。其形态与野葡萄相似，枝上有卷须，卷须尖端有粘性吸盘，遇到物体便吸附在上，无论是岩石、墙壁或是树木，均能吸附。...,2016-05-30,爱你°銉示,1个回答,
校园的爬山虎怎么写,http://zhidao.baidu.com/question/2208361013042987348.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：暮春时节，正是爬山虎长势旺盛的好时机，那嫩绿的爬山虎密密麻麻地扒在墙上，放眼望去，它会使人神清气爽。 我对爬山虎非常的了解，它又名爬墙虎，分布在我国的大江南北。别以为它中看不中用哦！它是一种美丽的垂直绿化植物，而且有破淤血，消肿...,2018-03-24,cn#GLpQLaGQGG,1个回答,1
4年级上册语文第六课爬山虎的脚怎么分段,http://zhidao.baidu.com/question/1832616693892229500.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：课文共有5个自然段。 第一自然段讲学校操尝我家房顶上满是爬山虎。 第二自然段讲爬山虎的叶子由嫩红到嫩绿，一墙绿叶很好看。 第三自然段讲爬山虎有脚──即长在它茎上的细丝，每根像蜗牛的触角一样的东西。 第四自然段讲爬山虎的脚，巴住墙，变成...,2017-10-10,百度知道客户端,3个回答,60
那片碌碌的爬山虎 原文,http://zhidao.baidu.com/question/223991593.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：咳咳。。是这个么。。 1963年，我上初三，写了一篇作文叫《一张画像》，是写教我平面几何的一位老师。他教课很有趣，为人也很有趣，致使这篇作文写得也自以为很有趣。经我的语文老师推荐，这篇作文竟在北京市少年儿童征文比赛中获奖。当然，我挺...,2011-02-10,xfx211,3个回答,11
室外的爬山虎能否种在室内？,http://zhidao.baidu.com/question/686881674623373852.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：室外的爬山虎能种在室内。爬山虎可种植在阴面和阳面，寒冷地区多种植在向阳地带。幼苗生长一年后即可粗放管理，在北方冬季能忍耐零下20℃的低温，不需要防寒保护。 所以可以种在家里。 爬山虎的好处： 1、爬山虎夏季枝叶茂密，可用于绿化房屋墙壁...,2018-04-04,爱犯二的猫小妞,2个回答,1
爬山虎的脚这篇课文主要讲了什么,http://zhidao.baidu.com/question/184836863.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：《爬山虎的脚》这篇课文细致地描写了爬山虎生长的地方，爬山虎的叶子，爬山虎脚的形状和特点，以及它是如何一步一步往上爬的。,2017-11-23,huang_0131,8个回答,827
爬山虎的脚告诉我们什么思想感情,http://zhidao.baidu.com/question/489079339.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：《爬山虎的脚》中心思想： 本文讲了爬山虎的叶子，爬山虎的脚的具体形状，以及怎样用脚来爬的，表达了作者对爬山虎的喜爱之情。告诉我们只有通过仔细观察，才能写出具体生动的文章。 本文的作者观察爬山虎是从远到近观查，有满墙的叶子到好像蛟...,2017-11-25,suntingting17,6个回答,99
爬山虎的枝子，能插活吗？,http://zhidao.baidu.com/question/687999537256250124.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎生命力很强，是可以插活的。 爬山虎（boston ivy）又称捆石龙、枫藤、小虫儿卧草、红丝草、红葛、趴山虎、红葡萄藤、巴山虎，葡萄科植物。夏季开花，花小，黄绿色，浆果紫黑色。常见攀缘在墙壁岩石上。爬山虎的根茎可入药，破瘀血、消肿毒...,2017-10-12,CP1991730,2个回答,9
爬墙虎怎么养殖不容易死？,http://zhidao.baidu.com/question/304773811935872884.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎在繁殖种植的过程需要注意以下事项： 1、种子沙藏和催芽。9月份当浆果成熟呈紫蓝色时立即采下，经过清洗、阴干，用0.05%的多菌灵溶液进行表面消毒，沥干后即进行湿沙层积贮藏。至翌年3月上旬，用45℃温水浸种两天，每天换水两次，然后以湿...,2016-01-11,PJJDCCW,2个回答,
爬山虎为什么能牢牢地吸在墙上,http://zhidao.baidu.com/question/221741422.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎树皮有皮孔，髓白色。枝条粗壮，老枝灰褐色，幼枝紫红色。爬山虎枝上有卷须，卷须短，多分枝，卷须顶端及尖端有粘性吸盘，遇到物体便吸附在上面，无论是岩石、墙壁或是树木，均能吸附。,2011-02-02,973985810,4个回答,102
爬山虎是四季常青的植物吗？,http://zhidao.baidu.com/question/1795892341863497387.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬山虎,2017-09-14,一语双关heart,4个回答,20
那片绿绿的爬山虎中的非凡指的是什么意思,http://zhidao.baidu.com/question/1862410099713199707.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：意义非凡的原因是：叶圣陶先生真诚平和的人品、一丝不苟严肃认真的创作态度一直激励着作者肖复兴前进,含蓄地写出了15岁那年的事一直留在作者脑海里,使他最终成长为一名作家,2017-12-15,光头强121314,3个回答,132
爬山虎的叶尖为什么朝下,http://zhidao.baidu.com/question/68847384.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：shiingweishehenme,2017-11-26,小李飞刀153,5个回答,264
“在我的眼前，那片爬山虎总是那么绿着.这句话在结...,http://zhidao.baidu.com/question/2268290019625648108.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：借物喻人,比喻叶圣陶老先生像爬山虎一样温和、质朴。 表示那片爬山虎和叶老先生都给肖复兴留下了深刻印象。 这里渗入了作者的感情,因为在他心中是永远充满生机的,所以才会说：在我眼前,那片爬山虎总是那么绿着,这也要结合整篇文章,读出作者的意境。,2018-08-07,快乐无限620,1个回答,19
《心灵上的爬山虎》读后感500字作文,http://zhidao.baidu.com/question/521615759891687325.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：代作家肖复兴的《 心灵上的爬山虎 》一文，回忆了他中学时代，叶圣陶爷爷如何关心他学习的事情。由于我的一段特殊经历，所以在学习这篇文章时感到格外亲切。文中有这样一句话：“这不仅使我看到了自己作文的种种毛病，也使我认识到了文学事业的艰...,2016-03-20,一起玩游戏呗,1个回答,8
《那片绿绿的爬山虎》文中的重点段落是哪些,http://zhidao.baidu.com/question/1964566437640735340.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：段落大意： 第一部分（第1～6自然段）：“我”的一篇作文获了奖，受到叶老的修改，“我”很高兴。 第二部分（第7～9自然段）：暑假的一天，叶老邀请“我”到他家做客。 第三部分（第10自然段）：通过与叶老先生的接触，使“我”受益匪浅。 中心思想： 本...,2018-01-10,,1个回答,16
一：爬山虎刚长出来的叶子是嫩红的，不几天叶子长...,http://zhidao.baidu.com/question/481218221.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：引人注意的是长大了的叶子。那些叶子绿得那么鲜艳，看着非常舒服。叶尖...,2012-09-28,高分小升初频道,3个回答,133
关于爬山虎的作文,http://zhidao.baidu.com/question/296496804.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：http://zhidao.baidu.com/question/205158613.html 爬山虎 我们学校的走廊长着一大片爬山虎，一年四季展示给我们不同的面貌。 春天，草绿花开，爬山虎的嫩芽从绿色的茎杆里长出来。浅浅的绿中透着嫩，嫩中透着润，让人联想起婴儿的皮肤，卷卷的...,2017-11-24,侑好,2个回答,477
叶圣陶写的关于爬山虎的文章急需？,http://zhidao.baidu.com/question/2138137067532894588.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：或者其他关于爬山虎的文章,2013-12-02,,2个回答,41
爬山虎的好处，急！！！！,http://zhidao.baidu.com/question/74059621.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎又名爬墙虎、地锦，原产我国，北起长白山，南至广东、广西，广泛分布。为葡萄科落叶大藤本，是一种美丽的垂直绿化植物。其形态与野葡萄相似，枝上有卷须，卷须尖端有粘性吸盘，遇到物体便吸附在上，无论是岩石、墙壁或是树木，均能吸附。...,2016-08-24,conyloveally,2个回答,76
用自己的话写一写爬山虎有什么特点和作用?,http://zhidao.baidu.com/question/1818652217169338188.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：用自己的话写一写爬山虎有什么特点和作用?,2017-11-26,超级肥胖的蜜蜂,1个回答,12
爬山虎的脚有什么特点？,http://zhidao.baidu.com/question/2144138391327490348.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎，也称“巴山虎”“地锦”“常青藤”，葡萄科植物。夏季开花，花小，黄绿色，浆果紫黑色。常攀缘在墙壁或岩石上，广见于我国各地。 爬山虎的脚触着墙的时候，六七根细丝的头上就变成小圆片，巴住墙。细丝原先是直的，现在弯曲了，把爬山虎的嫩茎...,2017-12-22,616宋小虫,1个回答,3
爬山虎种在房子周围,有什么好处和坏处?,http://zhidao.baidu.com/question/571517528.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：我家刚装修了房子,我建议我爸爸在房子周围种点爬山虎,不知道会有什么好...,2017-09-01,蚊子的4点半,6个回答,169
爬山虎会长花吗?什么颜色的?像什么???,http://zhidao.baidu.com/question/554527312.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：1:爬山虎（japanese creeper）又称爬墙虎、地锦、飞天蜈蚣、假葡萄藤、捆石龙、枫藤、小虫儿卧草、红丝草、红葛、趴山虎、红葡萄藤。爬山虎，也称“巴山虎”“常青藤”，葡萄科植物。夏季开花，花小，黄绿色，浆果紫黑色。常攀缘在墙壁或岩石上，广...,2016-12-04,,2个回答,21
爬山虎的脚是什么样子的呀,http://zhidao.baidu.com/question/12860589.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬山虎的脚是什么样子的呀?,2017-10-06,乒乓跳豆,2个回答,707
爬山虎种下根后多少时间才发芽,http://zhidao.baidu.com/question/1702146340140164740.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：大概一个月左右，可以发芽。 繁殖过程需要注意以下事项： (一)种子沙藏和催芽。9月份当浆果成熟呈紫蓝色时立即采下，经过清洗、阴干，用0.05％的多菌灵溶液进行表面消毒，沥干后即进行湿沙层积贮藏。至翌年3月上旬，用45?C温水浸种两天，每天换...,2017-09-25,清茶半盞,3个回答,6
爬山虎是怎样爬的？,http://zhidao.baidu.com/question/1174297031416883219.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎是一种会爬墙的植物，它爬墙的本领，来自于它卷须上的吸盘，就像壁虎的脚一样，只要碰到房屋的墙壁，不管墙壁表面有多光滑，吸盘都能牢牢地吸附在上面，爬上十几米的墙壁，直到屋顶。,2013-12-19,,8个回答,517
课题是爬山虎的脚为什么作者却详写了叶子的生长,http://zhidao.baidu.com/question/1707590787868334620.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：本文讲了爬山虎的叶子，爬山虎的脚的具体形状，以及怎样用脚来爬的，表达了作者对爬山虎的喜爱之情。告诉我们只有通过仔细观察，才能写出具体生动的文章。 本文的作者观察爬山虎是从远到近观查，有满墙的叶子到好像蛟龙的爪子的脚。写叶子抓住了...,2017-09-23,百度知道客户端,1个回答,1
我的爬山虎幼苗为什么一直长不大（一个月多了才长...,http://zhidao.baidu.com/question/441798820.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎适应性强，性喜阴湿环境，但不怕强光，耐寒，耐旱，耐贫瘠，气候适应性广泛，在暖温带以南冬季也可以保持半常绿或常绿状态。耐修剪，怕积水，对土壤要求不严，阴湿环境或向阳处，均能茁壮生长，但在阴湿、肥沃的土壤中生长最佳。它对二氧...,2017-10-15,乔比变色龙,2个回答,9
爬墙虎每平米种植多少株适宜？,http://zhidao.baidu.com/question/24514307.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬墙虎每平米种植多少株最适宜？,2017-09-24,零食物语520,3个回答,2
跪求《心灵的爬山虎》读后感,http://zhidao.baidu.com/question/1863621012441386707.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：肖复兴的《那片绿绿的爬山虎》一文，回忆了他中学时代，叶圣陶爷爷如何关心他学习的事情。由于我的一段特殊经历，所以在学习这篇文章时感到格外亲切。 文中有这样一句话：“这不仅使我看到了自己作文的种种毛病，也使我认识到了文学事业的艰巨：...,2016-07-09,错误了卡机三,1个回答,16
《那片绿绿的爬山虎》课文中的好词有哪些？,http://zhidao.baidu.com/question/2207366425534845588.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：1、受益匪浅 读音：[ shòu yì fěi qiǎn ] 释义：指收获不小，有很大的收获，一般指意识形态方面。 2、模模糊糊 读音： [ mó mó hu hū ] 释义：思想上不清晰的 3、春风拂面 读音： [ chūn fēng fú miàn ] 释义：指像春风一样从脸上轻轻擦过，形容...,2017-12-04,爆料百科大碗,1个回答,11
《那片绿绿的爬山虎》，作者认为15岁时的那个夏天...,http://zhidao.baidu.com/question/713445128073632285.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：意义非凡的原因是：叶圣陶先生真诚平和的人品、一丝不苟严肃认真的创作态度一直激励着作者肖复兴前进,使他最终成长为一名作家.,2017-11-21,cn#BBakpGfVGu,7个回答,875
如何除掉爬山虎？,http://zhidao.baidu.com/question/936356457378722012.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：我家外墙上现在已经全是这些了，搞的现在窗也不敢开了，而且一些小动物...,2017-11-26,,2个回答,6
叶圣陶写的关于爬山虎的文章急需？,http://zhidao.baidu.com/question/383269132.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：或者其他关于爬山虎的文章,2016-12-02,雨中漫步xu,4个回答,108
在高层住宅种植爬山虎合适吗,http://zhidao.baidu.com/question/556473880546271132.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎生性随和，占地少、生长快，绿化覆盖面积大。一年生苗株高可达一米,一根茎粗2厘米的藤条，种植两年，墙面绿化覆盖面、居然可达30～50平方米。房屋、楼墙跟或院墙跟处种植，应离墙基五十厘米挖坑，株距一般以一点五米为宜。在楼房阳台可以...,2016-12-04,我努力的方式,1个回答,2
爬山虎的脚为什么能巴住墙,http://zhidao.baidu.com/question/184140200.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎的脚长在茎上。茎上长叶柄地方，反面伸出枝状的六七根细丝，每根细丝像蜗牛的触角。细丝跟新叶子一样，也是嫩红的。这就是爬山虎的脚。爬山虎的脚步触着墙的时候，六七根细丝的头上就变成小圆片，巴住墙，细丝原先是直的，现在弯曲了，把...,2016-12-01,快乐赵海燕,3个回答,45
心灵的爬山虎读后感,http://zhidao.baidu.com/question/2077264954310545468.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：学校操场北边墙上满是爬山虎。我家也有爬山虎，从小院的西墙爬上去，在房顶上占了一大片地方。 爬山虎刚长出来的叶子是嫩红的，不几天叶子长大，就变成嫩绿的。爬山虎的嫩叶不大引人注意，引人注意的是长大了的叶子。那此叶子绿得那么新鲜，看着...,2017-02-11,cn#afkkBLBBpa,2个回答,2
种爬山虎是剪枝还是要根的呀？？？？,http://zhidao.baidu.com/question/646480880039266325.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：剪枝可扦插活(方便)但不能保证100%成活。 挖根种成功率更大更直接。 我自己也扦插过爬山虎的枝，插了两根成功一根。我是在春天进行剪枝扦插的，但新长出的嫩叶被野鸟给破坏了。,2017-04-26,完老8,4个回答,1
爬山虎的脚指的是什么?根据课文内容填空,http://zhidao.baidu.com/question/326153975.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎的脚指的是：六七细丝和小圆片。,2017-11-25,690728012,5个回答,170
爬山虎的嫩叶不大引人注意,引人注意的是长大了的叶...,http://zhidao.baidu.com/question/629637645032311044.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬山虎的嫩叶不大引人注意,引人注意的是长大了的叶子,是过渡句吗,2017-11-14,wznewleaf,1个回答,8
那片绿绿的爬山虎的感受,http://zhidao.baidu.com/question/77814988.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：400字的感受 !!!谢谢啊,2017-12-15,hgfgfd,3个回答,58
关于爬山虎句子,http://zhidao.baidu.com/question/922947937897298659.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：关于爬山虎句子 爬山虎的脚步触着墙的时候，六七根细丝的头上就变成小圆片，巴住墙。细丝原先是直的，现在弯曲了，把爬山虎的嫩茎拉一把，使它紧贴在墙上。爬山虎就是这样一脚一脚地往上爬。如果你仔细观察那些细小的脚，你会想起图画上蛟龙的爪...,2016-12-12,wxmao88,1个回答,3
爬山虎的脚像什么？,http://zhidao.baidu.com/question/1690687225131900628.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎的脚像 蜗牛的触角 ， 又像蛟龙的爪子,2017-12-16,百度知道客户端,4个回答,209
如果你是一位电视台的主持人打算录制一期有关爬山...,http://zhidao.baidu.com/question/489496689307512812.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：如果你是一位电视台的主持人打算录制一期有关爬山虎的节目,你会怎么想向...,2017-09-21,作业帮,2个回答,65
爬山虎的叶子的特点是什么,http://zhidao.baidu.com/question/2056688113076851467.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎的叶子特点：叶互生，小叶肥厚，基部楔形，变异很大，边缘有粗锯齿，叶片及叶脉对称。 爬山虎：夏季开花，花小，呈黄绿色，浆果紫黑色。常见攀缘在墙壁岩石上。爬山虎的根茎可入药，破瘀血、消肿毒；果可酿酒，但它的根会分泌酸性物质腐蚀...,2016-10-11,天羽诗韵,1个回答,9
爬山虎的作文,http://zhidao.baidu.com/question/153068128.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：就是有关于爬山虎的O(∩_∩)O谢谢,2017-11-23,风之翼叶,4个回答,677
爬山虎的脚这个课文是什么意思？,http://zhidao.baidu.com/question/35690600.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：http://www.bgy.gd.cn/wenbo/71.htm 爬山虎刚长出来的叶子是嫩红的，不几天叶子长大，就变成嫩绿的。爬山虎的嫩叶不大引人注意，引人注意的是长大了的叶子。那些叶子绿得那么新鲜，看着非常舒服，叶尖一顺儿朝下，在墙上铺得那么均匀，没有重叠...,2017-11-24,喝可乐的蚊,3个回答,420
描写爬山虎植物的诗句有哪些？,http://zhidao.baidu.com/question/716202169642296965.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎古诗：唐寅《落花诗》 桃花净尽杏花空，开落年年约略同； 自是节临三月暮，何须人恨五更风？ 扑檐直破帘衣碧，上砌如欺【地锦】红； 拾向砑罗方帕里，鸳鸯一对正当中。《夜梦与罗子和论药名诗》 朱翌 钻破故纸我拙计，该贯众史子得意。 签...,2018-01-19,欣宇丿,1个回答,1
那片绿绿的爬山虎第七自然段为什么要这样写,http://zhidao.baidu.com/question/1863324946502402267.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：那片绿绿的爬山虎第七自然段为什么要这样写,2019-01-20,cn#GBapVVVQpf,3个回答,1
爬山虎的嫩叶不大引人注意改设问句,http://zhidao.baidu.com/question/83328953.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：问:爬山虎的嫩叶引人注意吗?答:爬山虎的嫩叶不大引人注意。,2018-10-28,cn#GBaffuBkGV,9个回答,3
爬山虎有什么用,http://zhidao.baidu.com/question/184837978.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：主要用途 一、景观用途 夏季枝叶茂密，常攀缘在墙壁或岩石上，适于配植宅院墙壁、围墙、庭园入口处、桥头石堍等处。可用于绿化房屋墙壁、公园山石，既可美化环境，又能降温，调节空气，减少噪音。 由于爬山虎的茎叶密集，覆盖在房屋墙面上，不仅...,2017-11-23,huang_0131,1个回答,29
四年级语文上册爬山虎的脚中有哪些是拟人句的,http://zhidao.baidu.com/question/1707847926617098820.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：四年级语文上册爬山虎的脚中有哪些是拟人句的 爬山虎的脚中拟人句是： 爬山虎就是这样一脚一脚地往上爬。,2017-09-30,LILIQLMgo,2个回答,13
心灵的爬山虎作文两千字,http://zhidao.baidu.com/question/1370708263042857259.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：心灵的爬山虎作文两千字,2016-09-11,最美的歌7,1个回答,2
爬山虎秋天时上面结的小果子是什么,http://zhidao.baidu.com/question/1670386348647641827.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：蓝黑色的小球形果子。也就是爬山虎的果实。性温，味甘，涩。该物种为中国植物图谱数据库收录的有毒植物，其毒性为全草有毒。 爬山虎（japanese creeper）又称爬墙虎、地锦、飞天蜈蚣、假葡萄藤、捆石龙、枫藤、小虫儿卧草、红丝草、红葛、趴山虎...,2017-06-08,宛如昨日122741,1个回答,58
叶圣陶如何介绍的爬山虎的脚,http://zhidao.baidu.com/question/482546393.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：如回答好、快。追加,2017-11-25,家里蹲一号位,2个回答,49
收集有关爬山虎生长的资料不少于50字,http://zhidao.baidu.com/question/2118439257946145467.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎适应性强，性喜阴湿环境，但不怕强光，耐寒，耐旱，耐贫瘠，气候适应性广泛，在暖温带以南冬季也可以保持半常绿或常绿状态。耐修剪，怕积水，对土壤要求不严，阴湿环境或向阳处，均能茁壮生长，但在阴湿、肥沃的土壤中生长最佳。它对二氧...,2015-09-23,Q桃子爱阿狸,1个回答,274
那些爬山虎的叶子绿得像什么？,http://zhidao.baidu.com/question/525938011897862325.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：碧绿的湖水一样沉郁,2018-11-29,决心书贫方,6个回答,6
爬山虎亦称“巴山虎”、“地锦　”、“常青藤”，葡萄科...,http://zhidao.baidu.com/question/479045287.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：常攀缘在墙壁或岩石上，广见于我国各地。 爬山虎生性随和，适应性强，喜...,2017-11-25,caierbaby,3个回答,98
请用一句话介绍爬山虎的脚的样子,http://zhidao.baidu.com/question/1692504948855267668.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：请用一句话介绍爬山虎的脚的样子,2017-12-16,nlancyi,3个回答,209
爬山虎的生长速度？,http://zhidao.baidu.com/question/117534810.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：20米左右高的塔楼，多长时间能长到半截？,2017-10-14,絔依渃雪,2个回答,18
夏天，爬山虎密密麻麻地长满墙面，叶片之间尽量不...,http://zhidao.baidu.com/question/354732184.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：快点,2011-12-15,claywong,3个回答,24
谁知道爬山虎和爬墙虎的区别,http://zhidao.baidu.com/question/164204818.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：不要说是一种植物,2017-11-23,谢兰婷,3个回答,23
爬山虎就是这样一脚一脚地往上爬，为什么不说一步...,http://zhidao.baidu.com/question/480961920.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎并不是像动物那样行走,而是长出新的脚才能往上爬的.从中看出爬山虎不怕困难、脚踏实地、不屈不挠地攀登的精神. 爬山虎是多种植物的别称。捆石龙、枫藤、小虫儿卧草、红丝草、红葛、趴山虎、红葡萄藤、巴山虎，葡萄科植物。夏季开花，花小...,2018-04-25,刘梦真唯一,6个回答,18
爬山虎结的果实是什么？,http://zhidao.baidu.com/question/326529824.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：您好！ 蓝黑色的小球形果子 爬山虎的根茎叶花果均有毒, 性温，味甘，涩。该物种为中国植物图谱数据库收录的有毒植物，其毒性为全草有毒。,2017-11-24,欧阳明珠眼镜,2个回答,84
爬山虎是怎样爬墙的？,http://zhidao.baidu.com/question/1836563606174115420.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎爬墙的原因是其枝上有卷须，卷须尖端有粘性吸盘，遇到物体便吸附在上，无论是岩石、墙壁或是树木，均能吸附。 爬山虎简介： 爬山虎是多种植物的别称。捆石龙、枫藤、小虫儿卧草、红丝草、红葛、趴山虎、红葡萄藤、巴山虎，葡萄科植物。夏...,2017-12-11,smilezp_yiqi,2个回答,2
《爬山虎的脚》的作者是叶圣陶写的。(修改病句),http://zhidao.baidu.com/question/1237841880705423699.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：快快,2013-11-20,,5个回答,67
爬山虎的形态结构特征及形态特点,http://zhidao.baidu.com/question/808098569563963492.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：它的根、茎、叶的结构特点,2014-03-01,,1个回答,10
爬山虎的介绍(200字左右),http://zhidao.baidu.com/question/26918750.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎又名爬墙虎、地锦，原产我国，北起长白山，南至广东、广西，广泛分布。为葡萄科落叶大藤本，是一种美丽的垂直绿化植物。其形态与野葡萄相似，枝上有卷须，卷须尖端有粘性吸盘，遇到物体便吸附在上，无论是岩石、墙壁或是树木，均能吸附。...,2016-12-02,点青手,4个回答,92
爬山虎是草本植物还是木本植物,http://zhidao.baidu.com/question/429453602785820932.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎属多年生大型落叶木质藤本植物。 1、形态特征 爬山虎属多年生大型落叶木质藤本植物，其形态与野葡萄藤相似。藤茎可长达18米(约60英尺)。夏季开花，花小，成簇不显，黄绿色或浆果紫黑色，与叶对生。花多为两性，雌雄同株，聚伞花序 常着生...,2017-01-05,浪子心丶Fly,2个回答,2
爬山虎叶子有什么药用,http://zhidao.baidu.com/question/918657614492702579.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：要叶子的药用,2017-11-29,苦苦的挣扎9898,1个回答,10
爬山虎的脚是什么样子的(图片)？,http://zhidao.baidu.com/question/1900115869982381900.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎是有脚的。爬山虎的脚长在茎上。茎上长叶柄的地方，反面伸出枝状的六七根细丝，每根细丝像蜗牛的触角。细丝跟新叶子一样，也是嫩红的。这就是爬山虎的脚。 爬山虎的脚触着墙的时候，六七根细丝的头上就变成小圆片，巴住墙。细丝原先是直的...,2017-12-22,烟火中的尘埃4,2个回答,6
爬山虎是复叶还是单叶啊,http://zhidao.baidu.com/question/568144401.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：有三叶的五叶的和单叶的。☘️&#127807;&#127811;&#127808;&#127793;,2018-10-27,ucka_zhao,4个回答,
